Year,Country,Avg Temperature (°C),CO2 Emissions (Tons/Capita),Sea Level Rise (cm),Population,Renewable Energy (%),Extreme Weather Events
2000,Argentina,14.45,3.852,2.28,37213986,11.56,8
2001,Argentina,15.07,3.588,2.83,37624817,15.04,7
2002,Argentina,14.83,3.285,2.76,38029345,15.33,4
2003,Argentina,15.22,3.498,3.15,38424283,13.61,4
2004,Argentina,15.2,4.051,3.17,38815915,11.46,3
2005,Argentina,14.86,4.124,3.46,39216786,12.03,1
2006,Argentina,15.38,4.4,3.64,39622113,12.68,1
2007,Argentina,14.41,4.342,3.55,40016767,10.02,3
2008,Argentina,15.3,4.641,4.11,40424151,9.87,2
2009,Argentina,15.34,4.366,4.49,40854832,11.19,6
2010,Argentina,14.85,4.508,4.74,41288694,11.09,1
2011,Argentina,15.13,4.55,4.55,41730655,10.41,1
2012,Argentina,15.52,4.547,5.42,42161718,9.7,3
2013,Argentina,15.34,4.451,5.49,42582453,10.13,2
2014,Argentina,15.35,4.382,5.95,43024071,10.4,4
2015,Argentina,15.48,4.412,6.62,43477011,10.28,5
2016,Argentina,14.98,4.328,7.16,43900312,9.59,2
2017,Argentina,15.53,4.224,7.23,44288898,10.45,4
2018,Argentina,15.21,4.087,7.54,44654876,10.82,5
2019,Argentina,15.19,4.012,8.22,44973469,11.42,4
2020,Argentina,15.52,3.643,8.32,45191960,11.83,2
2021,Argentina,15.4,4.197,8.91,45312282,10.95,3
2022,Argentina,15.07,4.047,9.41,45407904,12.01,1
2023,Argentina,16.8,3.918,9.72,45538402,14.1,4
2000,Australia,21.45,18.288,2.28,19132472,3.76,6
2001,Australia,21.47,18.469,2.83,19365438,3.66,9
2002,Australia,22.16,18.495,2.76,19595356,3.71,5
2003,Australia,22.12,18.708,3.15,19819449,3.8,10
2004,Australia,21.99,19.056,3.17,20046679,3.83,7
2005,Australia,22.47,18.975,3.46,20294490,4.1,4
2006,Australia,21.83,19.007,3.64,20590566,4.02,8
2007,Australia,21.98,19.036,3.55,20954545,3.79,2
2008,Australia,21.7,18.918,4.11,21370595,3.5,5
2009,Australia,22.11,18.683,4.49,21783014,3.72,6
2010,Australia,21.48,18.293,4.74,22141583,4.09,8
2011,Australia,21.44,17.966,4.55,22479779,5.39,3
2012,Australia,21.75,17.722,5.42,22852648,5.4,2
2013,Australia,22.72,17.122,5.49,23236271,6.17,3
2014,Australia,22.53,16.639,5.95,23595599,5.66,4
2015,Australia,22.33,16.727,6.62,23947997,5.96,8
2016,Australia,22.41,16.838,7.16,24329963,6.79,4
2017,Australia,22.48,16.716,7.23,24731044,6.37,3
2018,Australia,22.49,16.512,7.54,25119700,7.85,3
2019,Australia,22.78,16.283,8.22,25482714,8.41,3
2020,Australia,22.56,15.481,8.32,25743787,10.29,3
2021,Australia,22.05,14.966,8.91,25956417,12.28,7
2022,Australia,21.96,14.659,9.41,26200987,13.25,5
2023,Australia,17.8,14.529,9.72,26451126,14.32,6
2000,Brazil,25.09,1.955,2.28,174018278,40.94,5
2001,Brazil,25.35,1.963,2.83,176301201,37.18,5
2002,Brazil,25.62,1.948,2.76,178503485,38.82,6
2003,Brazil,25.42,1.908,3.15,180622688,40.45,5
2004,Brazil,25.35,1.979,3.17,182675144,40.44,5
2005,Brazil,25.61,1.973,3.46,184688101,41.27,4
2006,Brazil,25.41,1.976,3.64,186653099,41.15,2
2007,Brazil,25.53,2.071,3.55,188552311,42.28,6
2008,Brazil,25.24,2.168,4.11,190367297,41.39,6
2009,Brazil,25.43,2.029,4.49,192079958,44.16,10
2010,Brazil,25.67,2.273,4.74,193701931,42.51,5
2011,Brazil,25.35,2.365,4.55,195284736,42.38,9
2012,Brazil,25.56,2.527,5.42,196876113,40.26,3
2013,Brazil,25.49,2.678,5.49,198478290,38.41,6
2014,Brazil,25.66,2.781,5.95,200085126,37.57,5
2015,Brazil,25.97,2.619,6.62,201675534,38.71,6
2016,Brazil,25.84,2.42,7.16,203218108,41.54,3
2017,Brazil,25.77,2.429,7.23,204703440,41.29,2
2018,Brazil,25.59,2.312,7.54,206107265,44.13,3
2019,Brazil,25.94,2.298,8.22,207455459,45.18,8
2020,Brazil,25.93,2.147,8.32,208660845,47.12,7
2021,Brazil,25.57,2.37,8.91,209550291,43.67,9
